Water,Variety,Replication,Total_T,Initial_DM,Shoot_DM,Leaf_DM,Tuber_FM,Tuber_DM,AG_TDM,Gain_AG_DM,UG_DM,Gain_TDM,TE_Gain_AG_DM,TE_Gain_TDM,TE_Tuber_DM,
WS,Caesar,1,1526.6,1.295,3.710,4.905,36.04,9.50,8.62,7.32,0.84,17.66,4.79,11.57,6.22,
WS,Caesar,2,1697.6,1.085,4.900,6.178,43.66,11.93,11.08,9.99,1.48,23.40,5.89,13.79,7.03,
WS,Caesar,3,1271.2,1.328,3.370,4.023,26.72,7.27,7.39,6.07,5.86,19.20,4.77,15.10,5.72,
WS,Caesar,4,1370.1,2.403,2.730,3.378,36.44,8.73,6.11,3.71,2.66,15.10,2.70,11.02,6.37,
WS,Caesar,5,1278.6,1.792,1.930,2.512,32.80,7.40,4.44,2.65,6.88,16.93,2.07,13.24,5.79,
WS,Cardinal,1,1377.0,1.057,2.560,3.464,3.80,1.13,6.02,4.97,6.37,12.47,3.61,9.05,0.82,
WS,Cardinal,2,1246.5,1.257,1.480,2.681,28.41,7.48,4.16,2.90,1.99,12.37,2.33,9.93,6.00,
WS,Cardinal,3,1479.0,1.026,2.430,4.188,22.70,6.61,6.62,5.59,2.34,14.54,3.78,9.83,4.47,
WS,Cardinal,4,1379.4,1.267,4.060,4.794,12.48,3.69,8.85,7.59,3.76,15.04,5.50,10.90,2.68,
WS,Cardinal,5,1704.9,1.3,2.590,4.533,20.94,6.04,7.12,5.82,2.98,14.84,3.42,8.71,3.54,
WS,Desiree,1,1617.3,1.068,3.680,5.137,20.86,5.58,8.82,7.75,4.36,17.69,4.79,10.94,3.45,
WS,Desiree,2,1764.1,1.33,3.430,5.546,15.30,4.09,8.98,7.65,5.97,17.71,4.33,10.04,2.32,
WS,Desiree,3,1543.4,1.509,3.450,4.673,23.53,6.74,8.12,6.61,2.04,15.39,4.29,9.97,4.37,
WS,Desiree,4,1789.9,2.309,2.970,4.495,37.21,10.41,7.47,5.16,1.80,17.37,2.88,9.70,5.82,
WS,Desiree,5,1979.9,2.489,4.850,5.935,21.62,6.25,10.79,8.30,1.30,15.85,4.19,8.00,3.16,
WS,Diamant,1,1586.8,1.583,2.060,3.429,18.52,4.64,5.49,3.91,6.29,14.84,2.46,9.35,2.92,
WS,Diamant,2,1733.5,1.253,2.010,3.414,34.17,9.18,5.42,4.17,1.55,14.90,2.41,8.60,5.30,
WS,Diamant,3,1228.3,1.322,2.990,3.419,20.61,5.05,6.41,5.09,1.96,12.10,4.14,9.85,4.11,
WS,Diamant,4,1407.5,1.319,1.990,3.354,29.87,7.74,5.34,4.03,2.30,14.07,2.86,9.99,5.50,
WS,Diamant,5,1992.7,1.022,2.880,5.418,28.15,7.85,8.30,7.28,3.86,18.99,3.65,9.53,3.94,
WS,Farida,1,1450.0,1.266,3.480,4.910,19.97,5.42,8.39,7.12,3.54,16.08,4.91,11.09,3.74,
WS,Farida,2,1590.6,1.738,3.240,5.927,22.49,7.04,9.17,7.43,1.75,16.22,4.67,10.20,4.43,
WS,Farida,3,1605.2,1.493,4.190,5.494,13.25,4.24,9.68,8.19,2.46,14.89,5.10,9.28,2.64,
WS,Farida,4,1544.2,1.704,2.030,4.191,16.55,4.80,6.22,4.52,2.40,11.72,2.93,7.59,3.11,
WS,Farida,5,1782.6,1.565,3.170,5.511,24.64,7.85,8.68,7.12,7.21,22.18,3.99,12.44,4.40,
WS,Mondial,1,1547.4,1.343,3.660,4.317,15.40,4.17,7.98,6.63,2.24,13.04,4.29,8.43,2.69,
WS,Mondial,2,1611.1,1.966,4.900,6.048,11.56,3.18,10.95,8.98,3.89,16.05,5.58,9.96,1.97,
