"","diff","lwr","upr","p adj"
"WS:Diamant-WS:Cardinal",1.12799999999999,-6.52732877982903,8.78332877982902,0.999999503064259
"WS:Mondial-WS:Cardinal",1.38399999999999,-6.27132877982903,9.03932877982901,0.99999417446093
"WS:Farida-WS:Cardinal",2.36599999999999,-5.28932877982903,10.021328779829,0.997875462123925
"WS:Desiree-WS:Cardinal",2.94999999999999,-4.70532877982903,10.605328779829,0.983761609881402
"WS:Spunta-WS:Cardinal",4.44799999999999,-3.20732877982903,12.103328779829,0.738596129008597
"WS:Caesar-WS:Cardinal",4.60599999999997,-3.04932877982905,12.261328779829,0.692222935111968
"WW:Cardinal-WS:Cardinal",8.2,0.54467122017098,15.855328779829,0.0251980646881975
"WW:Caesar-WS:Cardinal",9.66199999999999,2.00667122017097,17.317328779829,0.00326052880471217
"WW:Diamant-WS:Cardinal",11.886,4.23067122017097,19.541328779829,9.85990877800935e-05
"WW:Mondial-WS:Cardinal",12.78,5.12467122017097,20.435328779829,2.22731587437019e-05
"WW:Farida-WS:Cardinal",13.006,5.35067122017097,20.661328779829,1.52174193734922e-05
"WW:Spunta-WS:Cardinal",16.958,9.30267122017097,24.613328779829,1.68068104988706e-08
"WW:Desiree-WS:Cardinal",17.214,9.55867122017098,24.869328779829,1.07907467405965e-08
"WS:Mondial-WS:Diamant",0.255999999999997,-7.39932877982903,7.91132877982902,1
"WS:Farida-WS:Diamant",1.238,-6.41732877982902,8.89332877982902,0.999998462581706
"WS:Desiree-WS:Diamant",1.822,-5.83332877982902,9.47732877982902,0.999863462202306
"WS:Spunta-WS:Diamant",3.32,-4.33532877982903,10.975328779829,0.958025513428625
"WS:Caesar-WS:Diamant",3.47799999999998,-4.17732877982904,11.133328779829,0.940864742039094
"WW:Cardinal-WS:Diamant",7.07200000000001,-0.583328779829013,14.727328779829,0.0982628754431186
"WW:Caesar-WS:Diamant",8.534,0.878671220170976,16.189328779829,0.0161810210177362
"WW:Diamant-WS:Diamant",10.758,3.10267122017098,18.413328779829,0.000607909875304569
"WW:Mondial-WS:Diamant",11.652,3.99667122017097,19.307328779829,0.000144667538456766
"WW:Farida-WS:Diamant",11.878,4.22267122017097,19.533328779829,9.99044963828633e-05
"WW:Spunta-WS:Diamant",15.83,8.17467122017097,23.485328779829,1.18783560210112e-07
"WW:Desiree-WS:Diamant",16.086,8.43067122017098,23.741328779829,7.62010003985125e-08
"WS:Farida-WS:Mondial",0.982000000000003,-6.67332877982902,8.63732877982903,0.999999909782315
"WS:Desiree-WS:Mondial",1.566,-6.08932877982902,9.22132877982903,0.999975319637908
"WS:Spunta-WS:Mondial",3.064,-4.59132877982902,10.719328779829,0.977716092953731
"WS:Caesar-WS:Mondial",3.22199999999998,-4.43332877982904,10.877328779829,0.966664150288941
"WW:Cardinal-WS:Mondial",6.81600000000001,-0.839328779829009,14.471328779829,0.129364590086992
"WW:Caesar-WS:Mondial",8.278,0.62267122017098,15.933328779829,0.0227550380253726
"WW:Diamant-WS:Mondial",10.502,2.84667122017098,18.157328779829,0.000907984027865627
"WW:Mondial-WS:Mondial",11.396,3.74067122017098,19.051328779829,0.000219312355215551
"WW:Farida-WS:Mondial",11.622,3.96667122017098,19.277328779829,0.000151924297385642
"WW:Spunta-WS:Mondial",15.574,7.91867122017098,23.229328779829,1.85132083996287e-07
"WW:Desiree-WS:Mondial",15.83,8.17467122017099,23.485328779829,1.18783560210112e-07
"WS:Desiree-WS:Farida",0.584,-7.07132877982902,8.23932877982902,0.999999999872298
"WS:Spunta-WS:Farida",2.082,-5.57332877982903,9.73732877982902,0.99942409061346
"WS:Caesar-WS:Farida",2.23999999999998,-5.41532877982904,9.895328779829,0.998772715474923
"WW:Cardinal-WS:Farida",5.83400000000001,-1.82132877982901,13.489328779829,0.322252941457752
